epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.84866,2.04766,0.54762,0.95238,1.3916,0.00011662,0.00011662,0.00011662
2,9.25186,1.22079,0.80952,0.9881,0.55762,0.000236787,0.000236787,0.000236787
3,13.4931,0.72946,0.78571,1,0.4585,0.000352006,0.000352006,0.000352006
4,17.8099,0.57683,0.78571,1,0.46802,0.000462277,0.000462277,0.000462277
5,22.0985,0.50252,0.80952,1,0.53223,0.0005676,0.0005676,0.0005676
6,26.4369,0.44788,0.7619,1,0.65186,0.000667974,0.000667974,0.000667974
7,29.1234,0.58398,0.80952,1,0.86768,0.00073404,0.00073404,0.00073404
8,31.4391,0.62203,0.66667,1,0.81396,0.000717546,0.000717546,0.000717546
9,35.8675,0.52649,0.7619,1,0.61475,0.000701053,0.000701053,0.000701053
10,40.2698,0.50241,0.71429,1,0.88965,0.000684559,0.000684559,0.000684559
11,44.3828,0.53386,0.70238,1,0.90771,0.000668066,0.000668066,0.000668066
12,48.7473,0.54322,0.80952,1,0.79834,0.000651573,0.000651573,0.000651573
13,53.0948,0.4113,0.79762,0.9881,0.92773,0.000635079,0.000635079,0.000635079
14,57.2467,0.52084,0.77381,1,0.78955,0.000618586,0.000618586,0.000618586
15,59.8663,0.37699,0.77381,1,0.74951,0.000602092,0.000602092,0.000602092
16,62.8741,0.42897,0.77381,1,0.89209,0.000585599,0.000585599,0.000585599
17,67.252,0.38482,0.80952,1,0.79883,0.000569106,0.000569106,0.000569106
18,71.7512,0.33588,0.75,1,0.96826,0.000552612,0.000552612,0.000552612
19,75.3774,0.35278,0.7619,1,1.20215,0.000536119,0.000536119,0.000536119
20,79.7111,0.33038,0.82143,1,0.70752,0.000519625,0.000519625,0.000519625
21,84.0458,0.35592,0.79762,1,0.84033,0.000503132,0.000503132,0.000503132
22,88.1737,0.32524,0.79762,1,0.90088,0.000486639,0.000486639,0.000486639
23,90.8488,0.25134,0.78571,1,1.34766,0.000470145,0.000470145,0.000470145
24,94.2286,0.31319,0.7619,1,0.86621,0.000453652,0.000453652,0.000453652
25,98.7421,0.32886,0.83333,1,0.81494,0.000437158,0.000437158,0.000437158
26,102.999,0.32069,0.80952,1,0.89648,0.000420665,0.000420665,0.000420665
27,106.257,0.24009,0.83333,1,0.99707,0.000404172,0.000404172,0.000404172
28,110.61,0.26726,0.78571,1,0.87207,0.000387678,0.000387678,0.000387678
29,114.947,0.28924,0.84524,1,1.06641,0.000371185,0.000371185,0.000371185
30,119.262,0.2621,0.84524,1,0.98486,0.000354691,0.000354691,0.000354691
31,121.908,0.18142,0.80952,1,1.12988,0.000338198,0.000338198,0.000338198
32,125.259,0.26023,0.80952,1,1.18652,0.000321705,0.000321705,0.000321705
33,129.525,0.15705,0.83333,1,1.27148,0.000305211,0.000305211,0.000305211
34,133.875,0.13222,0.83333,1,1.23047,0.000288718,0.000288718,0.000288718
35,137.276,0.2277,0.83333,1,1.13086,0.000272224,0.000272224,0.000272224
36,141.654,0.1545,0.80952,1,1.2998,0.000255731,0.000255731,0.000255731
37,145.964,0.14613,0.84524,1,1.20801,0.000239238,0.000239238,0.000239238
38,150.198,0.21271,0.85714,1,1.15918,0.000222744,0.000222744,0.000222744
39,152.815,0.14771,0.83333,1,1.05371,0.000206251,0.000206251,0.000206251
40,156.482,0.15003,0.85714,1,1.04785,0.000189757,0.000189757,0.000189757
41,162.099,0.23894,0.84524,1,1.16113,0.000173264,0.000173264,0.000173264
42,166.517,0.11759,0.82143,1,1.1377,0.000156771,0.000156771,0.000156771
43,170.949,0.1661,0.85714,1,1.33691,0.000140277,0.000140277,0.000140277
44,175.329,0.11668,0.85714,0.9881,1.27734,0.000123784,0.000123784,0.000123784
45,179.66,0.1101,0.85714,0.9881,1.30469,0.00010729,0.00010729,0.00010729
46,184.046,0.08799,0.86905,0.9881,1.30664,9.0797e-05,9.0797e-05,9.0797e-05
47,186.739,0.08311,0.86905,1,1.26465,7.43036e-05,7.43036e-05,7.43036e-05
48,188.975,0.12952,0.86905,1,1.29004,5.78102e-05,5.78102e-05,5.78102e-05
49,193.351,0.0893,0.86905,1,1.32617,4.13168e-05,4.13168e-05,4.13168e-05
50,197.777,0.07979,0.86905,1,1.32715,2.48234e-05,2.48234e-05,2.48234e-05
