epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.2316,2.04766,0.54762,0.95238,1.3916,0.00011662,0.00011662,0.00011662
2,9.58351,1.21895,0.80952,0.9881,0.55713,0.000239178,0.000239178,0.000239178
3,13.9066,0.7287,0.78571,1,0.45996,0.000359263,0.000359263,0.000359263
4,18.2614,0.57762,0.7619,1,0.46948,0.000476873,0.000476873,0.000476873
5,22.573,0.50459,0.80952,1,0.53711,0.00059201,0.00059201,0.00059201
6,26.9188,0.4586,0.7381,1,0.69482,0.000704672,0.000704672,0.000704672
7,29.6025,0.56475,0.7619,1,0.89648,0.00078352,0.00078352,0.00078352
8,31.9565,0.62274,0.61905,1,0.7998,0.000775273,0.000775273,0.000775273
9,36.3554,0.48495,0.7619,1,0.59766,0.000767026,0.000767026,0.000767026
10,40.737,0.5804,0.75,1,0.79297,0.00075878,0.00075878,0.00075878
11,45.0039,0.60714,0.77381,1,0.56689,0.000750533,0.000750533,0.000750533
12,49.4074,0.56539,0.79762,1,0.6499,0.000742286,0.000742286,0.000742286
13,53.848,0.51556,0.85714,1,0.41089,0.00073404,0.00073404,0.00073404
14,57.7601,0.60847,0.75,1,0.77832,0.000725793,0.000725793,0.000725793
15,60.5578,0.49915,0.7619,1,0.59277,0.000717546,0.000717546,0.000717546
16,63.3075,0.59068,0.75,1,0.78076,0.000709299,0.000709299,0.000709299
17,67.6991,0.54164,0.82143,1,0.52441,0.000701053,0.000701053,0.000701053
18,72.2395,0.48067,0.71429,1,0.87939,0.000692806,0.000692806,0.000692806
19,76.2143,0.48437,0.79762,1,0.70703,0.000684559,0.000684559,0.000684559
20,80.5733,0.44605,0.82143,1,0.65918,0.000676313,0.000676313,0.000676313
21,84.9296,0.39648,0.78571,1,0.8418,0.000668066,0.000668066,0.000668066
22,88.6762,0.40728,0.7619,1,0.87842,0.000659819,0.000659819,0.000659819
23,91.8092,0.37269,0.77381,1,0.84961,0.000651573,0.000651573,0.000651573
24,94.7901,0.4154,0.77381,1,0.63428,0.000643326,0.000643326,0.000643326
25,99.277,0.37366,0.75,1,0.67383,0.000635079,0.000635079,0.000635079
26,103.707,0.33311,0.77381,1,0.77051,0.000626832,0.000626832,0.000626832
27,107.261,0.34173,0.80952,1,0.92822,0.000618586,0.000618586,0.000618586
28,111.643,0.3785,0.79762,1,1.03906,0.000610339,0.000610339,0.000610339
29,115.979,0.36882,0.79762,1,0.89795,0.000602092,0.000602092,0.000602092
30,119.706,0.39941,0.79762,1,0.93701,0.000593846,0.000593846,0.000593846
31,122.909,0.23867,0.82143,0.9881,1.04297,0.000585599,0.000585599,0.000585599
32,126.201,0.35596,0.82143,1,0.71533,0.000577352,0.000577352,0.000577352
33,130.515,0.33119,0.79762,1,0.979,0.000569106,0.000569106,0.000569106
34,134.919,0.26275,0.77381,0.97619,1.14746,0.000560859,0.000560859,0.000560859
35,138.422,0.31397,0.79762,1,0.70605,0.000552612,0.000552612,0.000552612
36,142.834,0.31415,0.80952,1,0.95605,0.000544365,0.000544365,0.000544365
37,147.188,0.23651,0.79762,0.9881,1.29297,0.000536119,0.000536119,0.000536119
38,150.682,0.26758,0.83333,1,0.96484,0.000527872,0.000527872,0.000527872
39,154.098,0.22329,0.84524,0.9881,0.87061,0.000519625,0.000519625,0.000519625
40,157.669,0.28341,0.78571,0.9881,1.11328,0.000511379,0.000511379,0.000511379
41,162.141,0.24185,0.83333,0.9881,1.18262,0.000503132,0.000503132,0.000503132
42,166.508,0.30522,0.82143,1,1.23633,0.000494885,0.000494885,0.000494885
43,169.497,0.26521,0.80952,1,1.26562,0.000486639,0.000486639,0.000486639
44,173.819,0.28601,0.78571,1,1.33594,0.000478392,0.000478392,0.000478392
45,178.169,0.2894,0.82143,1,1.06348,0.000470145,0.000470145,0.000470145
46,181.368,0.27964,0.84524,1,0.88281,0.000461898,0.000461898,0.000461898
47,185.476,0.19533,0.83333,0.9881,0.86035,0.000453652,0.000453652,0.000453652
48,189.09,0.18661,0.82143,1,1.06445,0.000445405,0.000445405,0.000445405
49,193.518,0.21992,0.84524,0.9881,0.98584,0.000437158,0.000437158,0.000437158
50,197.928,0.27562,0.86905,0.9881,1.21289,0.000428912,0.000428912,0.000428912
51,200.557,0.16111,0.83333,1,1.35449,0.000420665,0.000420665,0.000420665
52,204.988,0.18549,0.86905,1,1.43262,0.000412418,0.000412418,0.000412418
53,209.314,0.13267,0.85714,1,1.33301,0.000404172,0.000404172,0.000404172
54,212.279,0.15276,0.85714,0.9881,1.31543,0.000395925,0.000395925,0.000395925
55,216.633,0.13054,0.84524,1,1.55664,0.000387678,0.000387678,0.000387678
56,220.465,0.13788,0.86905,0.9881,1.47949,0.000379431,0.000379431,0.000379431
57,224.888,0.15152,0.84524,1,1.52441,0.000371185,0.000371185,0.000371185
58,229.313,0.14642,0.83333,0.9881,1.58398,0.000362938,0.000362938,0.000362938
59,231.994,0.20481,0.84524,0.9881,1.2334,0.000354691,0.000354691,0.000354691
60,236.277,0.1712,0.86905,1,1.47656,0.000346445,0.000346445,0.000346445
61,240.718,0.16821,0.82143,0.97619,1.78223,0.000338198,0.000338198,0.000338198
62,243.47,0.31456,0.85714,1,1.52734,0.000329951,0.000329951,0.000329951
63,247.853,0.13308,0.86905,1,1.34277,0.000321705,0.000321705,0.000321705
64,251.935,0.14181,0.85714,1,1.58008,0.000313458,0.000313458,0.000313458
65,256.349,0.12065,0.86905,1,1.56152,0.000305211,0.000305211,0.000305211
66,260.766,0.09091,0.86905,0.97619,1.5166,0.000296964,0.000296964,0.000296964
67,263.396,0.3002,0.86905,1,1.46582,0.000288718,0.000288718,0.000288718
68,267.537,0.09928,0.86905,1,1.34766,0.000280471,0.000280471,0.000280471
69,271.92,0.15003,0.86905,1,1.39062,0.000272224,0.000272224,0.000272224
70,274.732,0.10091,0.85714,1,1.58496,0.000263978,0.000263978,0.000263978
71,279.08,0.12174,0.86905,0.9881,1.34082,0.000255731,0.000255731,0.000255731
72,283.107,0.08805,0.86905,1,1.5166,0.000247484,0.000247484,0.000247484
73,287.55,0.10218,0.86905,0.9881,1.59766,0.000239238,0.000239238,0.000239238
74,291.841,0.08962,0.86905,0.9881,1.55371,0.000230991,0.000230991,0.000230991
75,294.547,0.08211,0.86905,0.9881,1.36719,0.000222744,0.000222744,0.000222744
76,298.697,0.06528,0.86905,0.9881,1.36133,0.000214497,0.000214497,0.000214497
77,303.059,0.09361,0.86905,0.9881,1.43359,0.000206251,0.000206251,0.000206251
78,306.004,0.0541,0.86905,1,1.33594,0.000198004,0.000198004,0.000198004
79,310.487,0.0644,0.86905,0.9881,1.39453,0.000189757,0.000189757,0.000189757
80,314.384,0.05361,0.86905,1,1.5,0.000181511,0.000181511,0.000181511
81,318.844,0.06417,0.86905,0.9881,1.56152,0.000173264,0.000173264,0.000173264
82,323.129,0.05998,0.85714,1,1.60449,0.000165017,0.000165017,0.000165017
83,325.769,0.06565,0.86905,1,1.64062,0.000156771,0.000156771,0.000156771
84,329.744,0.10306,0.86905,0.9881,1.51074,0.000148524,0.000148524,0.000148524
85,334.133,0.07163,0.86905,0.9881,1.44824,0.000140277,0.000140277,0.000140277
86,337.576,0.1556,0.86905,0.9881,1.51758,0.000132031,0.000132031,0.000132031
87,341.909,0.13665,0.86905,0.9881,1.6748,0.000123784,0.000123784,0.000123784
88,345.611,0.05644,0.86905,0.9881,1.60938,0.000115537,0.000115537,0.000115537
89,350.034,0.049,0.86905,0.9881,1.5625,0.00010729,0.00010729,0.00010729
90,354.359,0.09287,0.86905,0.9881,1.50293,9.90437e-05,9.90437e-05,9.90437e-05
91,359.927,0.04827,0.86905,0.9881,1.44922,9.0797e-05,9.0797e-05,9.0797e-05
92,364.304,0.16828,0.86905,0.9881,1.45508,8.25503e-05,8.25503e-05,8.25503e-05
93,368.699,0.0416,0.86905,0.9881,1.45898,7.43036e-05,7.43036e-05,7.43036e-05
94,373.082,0.06406,0.86905,0.9881,1.5332,6.60569e-05,6.60569e-05,6.60569e-05
95,377.51,0.04311,0.85714,0.9881,1.67285,5.78102e-05,5.78102e-05,5.78102e-05
96,381.882,0.06328,0.86905,0.9881,1.69629,4.95635e-05,4.95635e-05,4.95635e-05
97,384.605,0.14323,0.86905,0.9881,1.68555,4.13168e-05,4.13168e-05,4.13168e-05
98,386.916,0.03695,0.86905,0.9881,1.61719,3.30701e-05,3.30701e-05,3.30701e-05
99,391.278,0.03018,0.86905,0.9881,1.62695,2.48234e-05,2.48234e-05,2.48234e-05
100,395.704,0.0671,0.86905,0.9881,1.61328,1.65767e-05,1.65767e-05,1.65767e-05
